,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
0,0,0.0,0.0,0.000681185801121,0.0,2.7969532980103,0.000457035415807,0.0,0.0,0.0,13.9623738091,0.0,0.0002844796,0.000556787,0.0,0.0,0.0,0.0,0.0,0.0,2.87548667027796,0.0199773304820836,0.0
1,15,0.0,0.0,0.270029341967514,11.06991880738785,15.6778504324369,-0.000195032988358,0.0,0.0,0.0,20.5579761962,0.0,0.0007942868,0.0003516019332927146,0.0,10.483605808983794,1.086648808600818,0.0365187,0.0,0.0,15.268822210278174,4.877288354080295,0.8494416092113246
2,30,0.0,0.0,9.2472917334063,22.1398376147757,27.2447244768327,0.000681433750549,19.3962329649891,0.0,0.0,20.7905405652,0.0,8.8666364324,0.6413146692600739,0.0,20.96721161796759,18.76798505802028,0.735646883472488,0.0199901561579558,1.2199830599182993,29.04268987433632,17.505821153387988,19.287583035519848
3,45,31.1714214795131,34.3683590704959,27.7430571160679,31.4619485185354,35.3565708100412,22.4865874088099,46.3196950644839,18.2960820879641,14.9909833882,21.0794813158,60.433991751,44.4133702026,23.30439255308962,6.443136220642264,31.45081742695138,33.13061159138462,21.3414855393328,10.748788525446276,22.739042765544436,38.33242580194104,26.302699170939643,43.54328728606041
4,60,59.208352026849,48.9842093113885,41.4514176516536,33.3943147468205,39.2951527578435,42.9420859943012,48.5720468200711,55.3060283104244,45.315261906,22.7610834895,81.161720193,58.6223358612,33.97096428703559,36.05083977793724,41.93442323593518,46.05948891759997,48.0837751067639,26.67082876098134,35.31336471513482,40.21114721486273,33.128421600585135,47.91543409389409
5,75,48.3904932159518,37.493064080262,32.082463460405,29.3762248086185,35.659389308606,31.3780955781944,43.0637751857938,51.390288872756,42.1068818506,21.0351015983,70.5263544633,40.6473046479,25.480819741069205,31.455176636100862,36.7102685206165,40.35461447107474,37.4074631613796,20.90637680815671,30.06146359655835,34.552527696831255,30.260922822276456,38.09383255792135
6,90,36.4778705361868,30.1173491163309,29.1960372472847,26.0025991741012,32.467004671384,24.3050343590603,36.2234074770051,41.6269936644638,34.1072786799,19.457451123,57.2232367459,30.1923122498,21.52073115937159,25.556431406195152,32.32031575638079,35.45633710234733,30.533709965963,18.146180674324743,26.34517628368953,29.85824732461494,27.677066052259,31.500000272206595
7,105,31.291872986070267,25.7119716261518,26.5673240689863,23.1606300134214,29.659674314467,19.7362010363218,30.155661103955,33.5826641611665,27.5161183772,18.0153379921,46.8977692415,23.8901144081,19.12459336506513,21.72629181022221,28.630059038820203,31.24996942841634,25.8781021034526,16.340148562281676,23.59805387711967,25.95594070470909,25.34884747712437,26.89794687117553
8,120,26.105875435953735,22.5808585748523,24.173236232913,20.7577245514034,27.1869346348061,16.6000614023918,25.30391675874,27.8683775550278,22.8340899967,16.6970717753,39.5252993404,19.9027524993,17.340080297519734,19.246480233907388,25.526586067489053,27.63709361819848,22.5451428781389,14.904130048747444,21.47392783467612,22.704607195194694,23.25094481236449,23.54414500178669
9,135,20.9198778858372,20.0597230242189,21.9927913618202,18.7178934665945,25.0051152946068,14.3139142254044,21.5538602957843,23.8168776831597,19.5144739727,15.4919704801,34.188088449,17.2250062585,15.853692975516982,17.437407451344676,22.91513714507717,24.53327201170988,20.0255864929502,13.664610203418926,19.760369614166976,19.988842924698744,21.36048849923257,20.989561553055797
10,150,18.8070799033533,17.9219169236892,20.006915556026,16.9787683382118,23.0764168170082,12.556745709255,18.6611983890694,20.8085805322174,17.0496111458,14.3902735606,30.145406279,15.3052896331,14.555390766647816,15.966272666690289,20.716188824588308,21.866073612127465,18.0270721376742,12.563782443066714,18.326214022672207,17.714146839375015,19.65684127560185,18.961393230122223
11,165,17.164919035649,16.0781223519106,18.1982653416041,15.592871907840301,21.3681136888942,11.148150288356,16.3979431293251,18.4515966750998,15.1184050177,13.3830624258,26.9365301293,13.8393009341,13.400651980364076,14.693166269164893,18.8629969256348,19.573375122449917,16.3793128794667,11.57707291473866,17.08973304623185,15.803096865119636,18.12139139569453,17.29242588802036
12,180,15.7934809644834,14.4797388725152,16.5510665502917,14.2069754774688,19.8518659003529,9.98373111453951,14.5887991963781,16.5238696298957,13.5389125355,12.4621877991,24.2961183451,12.6576889111,12.366695355013812,13.559913681786556,17.299532585873134,17.60189967684332,14.9809892866229,10.690019468485191,15.999329298322094,14.192232307356004,16.737361351892982,15.878837376050486
13,195,14.5997682904459,13.0918598749923,15.0509684962557,13.0976964976341,18.503124168394,9.00057960642094,13.1093730263417,14.9018480338686,12.2099012923,11.6202033267,22.0714798819,11.6648857154,11.438518781790798,12.53962290418516,15.978751696634864,15.905960857582162,13.7699760701529,9.891735719200074,15.021820092945973,12.82951025293726,15.48963237409476,14.654983957929424
14,210,13.5387414820467,11.8859533496924,13.6849119794799,12.1328905550086,17.3006160965303,8.1587792377839,11.8744058962818,13.5139968468836,11.0727587068,10.850304877,20.1703308468,10.805788218,10.604386921655028,11.617033467990971,14.861145826851857,14.446383714131205,12.7066261987962,9.173013693977184,14.13532404372708,11.672228995286348,14.364584227302606,13.578326093679411
15,225,12.5862672546582,10.8376829011007,12.496675261513499,11.2891665837788,16.2259022542353,7.43145141224715,10.825965189004,12.3154215537284,10.0907002408,10.17636847505,18.5322471067,10.0475974598,9.8543193585222,10.781403021423236,13.913530096510463,13.189578218239925,11.7643647059835,8.525728280399782,13.324938663086584,10.685331782355483,13.349949470488005,12.620407251001028
16,240,11.7273574647049,9.92603887078292,11.3084385435471,10.59020792240934,15.2629926578277,6.79935998920154,9.92429759790385,11.2750753937941,9.2382875807,9.5024320731,17.1140620802,9.3699098831,9.179537208854978,10.024016798338163,13.220183732243216,12.10674388373888,10.9243767430327,7.9426112313958654,12.580110697027004,9.840020529443638,12.434681184772714,11.7614465393598
17,255,10.9512114148477,9.13282576363711,10.2773407106317,9.89124926103988,14.4409615909847,6.24795327249296,9.14146845724441,10.3695395756692,8.4963324265,8.9135834852,15.8825937326,8.7593015933,8.57222092831693,9.337310472421317,12.526837367975968,11.17318717193384,10.172590833016,7.417133940230413,11.893033334175794,9.112622341772544,11.64906624689787,10.987089384829863
18,270,10.2491525272802,8.44227297187148,9.38089083321962,9.338980822586379,13.6189305241417,5.76571344130945,8.498802282057435,9.58001424631223,7.8494310276,8.3749825049,14.811004463,8.2063598625,8.025373639900995,8.714538754819436,11.83349100370872,10.422711824534069,9.49795055198419,6.943425697058078,11.257666569734504,8.524863782829133,10.863451309023027,10.286447480152908
19,285,9.613761314719,7.84070946648434,8.48444095580754,8.78671238413288,12.9152824009851,5.34321095801258,7.85613610687046,8.89082147416099,7.284737595,7.882287955,13.8769077067,7.726579742149999,7.579615924783886,8.14962675483876,11.328309375385786,9.672236477134298,8.89141105187544,6.556524447747293,10.690513838678637,7.93710522388572,10.190475924472713,9.706963719623204
