,ATLaS_ID,variable,VT_PBIF,VT_AIF,VT_Rebalanced,VT_PRED_SLOPE
0,1001,ctx-lh-bankssts,3.273644471528864,3.2510069428585453,0.6476365719880055,3.149302239623634
22,1001,ctx-lh-caudalanteriorcingulate,2.75754436819847,2.71904009826775,0.540016640317307,2.652805070971315
44,1001,ctx-lh-caudalmiddlefrontal,3.09326676745457,3.00563248474115,0.20270508944525,2.975775788489481
66,1001,ctx-lh-cuneus,3.0282542863463,3.01683900923584,-0.0167565956334827,2.9132326644152458
88,1001,ctx-lh-entorhinal,3.017960814163,3.11217298571392,1.63218478035824,2.9033301672802314
110,1001,ctx-lh-fusiform,2.49726753878024,2.41555253206832,-0.107914732876124,2.4024142881792674
132,1001,ctx-lh-inferiorparietal,2.84337547608195,2.84791299127661,0.240908032379479,2.735376071774154
154,1001,ctx-lh-inferiortemporal,2.58543017424261,2.5418699913943,0.227025551760666,2.4872282585806085
176,1001,ctx-lh-isthmuscingulate,3.13379075011954,2.98931795790954,0.096518533930801,3.01476055622318
198,1001,ctx-lh-lateraloccipital,2.44084231541108,2.417716559139,-0.160078286839055,2.348132253623215
220,1001,ctx-lh-lateralorbitofrontal,3.23317858387839,3.05964015260556,0.344152545562794,3.110373360292251
242,1001,ctx-lh-lingual,2.70333332086202,2.71165827458422,-0.161172423433305,2.600653111809637
264,1001,ctx-lh-medialorbitofrontal,2.95115979829081,2.8412689045891,0.129034868928155,2.839066442026899
286,1001,ctx-lh-middletemporal,3.0196353617997,2.98870395544657,0.558562540691989,2.9049411108840593
308,1001,ctx-lh-parahippocampal,2.26308326317361,2.20035826589343,-0.120421243877131,2.1771249905579646
330,1001,ctx-lh-paracentral,2.95574762628531,2.906938643584,0.143588291527059,2.8434800114000383
352,1001,ctx-lh-parsopercularis,3.21833897759935,3.09328514992528,0.212649571932311,3.0960974040312195
374,1001,ctx-lh-parsorbitalis,3.28614315382334,2.93318823257888,0.897088655335493,3.1613261867824267
396,1001,ctx-lh-parstriangularis,3.41182284639381,3.32855461915502,0.556495448812151,3.282232210857345
418,1001,ctx-lh-pericalcarine,3.45320232572874,3.34045445148518,0.101746164386965,3.3220399810893686
440,1001,ctx-lh-postcentral,2.92446109373147,2.82525127088556,0.0850665424743282,2.813381829420048
462,1001,ctx-lh-posteriorcingulate,3.11091894159778,2.96481036804254,0.216357800652277,2.9927574833701946
484,1001,ctx-lh-precentral,2.94262295344433,2.89990161160022,0.10318534829404,2.8308538505777783
506,1001,ctx-lh-precuneus,3.1722812507687,3.13145146323913,0.158076300939985,3.051789079312012
528,1001,ctx-lh-rostralanteriorcingulate,3.4691081974514,3.34626668369203,0.657994599259061,3.3373417030310746
550,1001,ctx-lh-rostralmiddlefrontal,3.12256781822473,3.06682059739809,0.333263732604611,3.0039639028728047
572,1001,ctx-lh-superiorfrontal,2.97053170557855,2.93190618303441,0.217837393506535,2.8577025497464916
594,1001,ctx-lh-superiorparietal,2.87071020872163,2.82945829658751,0.13489301709344,2.7616725543245195
616,1001,ctx-lh-superiortemporal,3.13941801466582,3.02162105729486,0.327097889468953,3.020174081421986
638,1001,ctx-lh-supramarginal,2.90611073736133,2.87847130801706,0.157838133623202,2.795728471238674
660,1001,ctx-lh-frontalpole,2.28914253624811,2.28682094833152,-0.108020225490293,2.202194459087685
682,1001,ctx-lh-temporalpole,2.88860131427137,3.19369784593241,3.11814186283338,2.7788841053243822
704,1001,ctx-lh-transversetemporal,3.50160038231037,3.32769672441993,0.364892413358989,3.3685997432478945
726,1001,ctx-lh-insula,3.28892028765386,3.22358326937663,0.466748021779749,3.163997837252799
748,1001,ctx-rh-bankssts,3.01587810576565,3.02435624395528,0.334133832222375,2.9013265660103618
770,1001,ctx-rh-caudalanteriorcingulate,2.89789302098101,2.86104864562061,0.354908700221164,2.787822886858264
792,1001,ctx-rh-caudalmiddlefrontal,3.12548334106182,3.06699598434214,0.35616652343331,3.0067686859457305
814,1001,ctx-rh-cuneus,2.87130921023943,2.79804158812343,-0.128901711353709,2.7622488040785633
836,1001,ctx-rh-entorhinal,2.96991233575561,2.78987535044615,0.319055747315579,2.857106705332871
858,1001,ctx-rh-fusiform,2.58282372300387,2.4839883426076,-0.0719428057195172,2.484720807696732
880,1001,ctx-rh-inferiorparietal,2.85266862700627,2.8434260025366,0.322081076724406,2.744316242667377
902,1001,ctx-rh-inferiortemporal,2.4776713297011,2.42651934618483,0.147243489177724,2.383562398281692
924,1001,ctx-rh-isthmuscingulate,2.74548462495601,2.72386564499337,-0.0568540277679956,2.6412033907237866
946,1001,ctx-rh-lateraloccipital,2.71322357062452,2.62127915556558,-0.0602784901109198,2.6101677020464114
968,1001,ctx-rh-lateralorbitofrontal,3.06759828354689,3.01034497188978,0.271233332458479,2.9510822658540046
990,1001,ctx-rh-lingual,2.62381111815001,2.52533332420644,-0.218886366001416,2.524151386201121
1012,1001,ctx-rh-medialorbitofrontal,3.04574965328057,2.96941953540846,0.173501573402813,2.9300635080662065
1034,1001,ctx-rh-middletemporal,2.98688161635376,2.78583186982394,0.39069217485045,2.873431444887621
1056,1001,ctx-rh-parahippocampal,2.48614221924571,2.29569327518494,-0.0797178158222811,2.3917115395969635
1078,1001,ctx-rh-paracentral,2.8722479424381,2.83589215210077,0.027101859229925,2.7631518805859208
1100,1001,ctx-rh-parsopercularis,3.18532003805203,3.16919758337199,0.218776358045602,3.064332616751858
1122,1001,ctx-rh-parsorbitalis,3.10668572702829,2.81660066241562,0.400446005458446,2.9886850582059936
1144,1001,ctx-rh-parstriangularis,3.14283896630713,3.12511878392641,0.33487116391287,3.0234650956904323
1166,1001,ctx-rh-pericalcarine,3.2337346298171,3.25749823875626,0.0942323610919555,3.110908286041013
1188,1001,ctx-rh-postcentral,2.902914990956,2.81265621709874,0.0636812314614652,2.792654108277422
1210,1001,ctx-rh-posteriorcingulate,3.21313507759608,3.17977005199891,0.287879053104339,3.0910911627983646
