,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
0,0,1.2774060759113794,0.9939008119751841,0.5646468530593328,0.8848138148190048,1.4677706609966241,0.8235467451300912,0.9904292647714558,1.1073857479256193,0.8694500408311623,13.05769321767576,1.6472728079497787,0.9496338826782766,0.8150439481268617,0.6860417129855616,1.592905945822111,1.6300341743026312,0.9112985463103626,0.6600040166709176,1.0007823836584897,1.7606509461083573,1.2875456141597903,0.9848096304511762
1,15,4.362124761850817,3.394002443308686,1.6604698809380363,8.04842992923613,11.13891750947986,2.814027973632138,3.3821476993045034,3.7815342223893977,2.9690241997603692,17.468645650623905,5.625156824116875,3.243015561900229,2.7847863659930727,2.342715914938612,5.044102583971674,4.479641009862395,3.0754110373491335,2.253801604933764,3.417501841664673,11.461847584510476,0.4123196013356889,2.5135159934721427
2,30,11.862899629262227,9.230068492896232,3.9972542480088373,13.92282841643315,14.900990945894627,7.651602618346566,10.198403723817654,10.28397016911361,8.074330286615588,12.389034376222167,15.297744664928986,0.045020189765089924,6.9329327379001215,6.371070355860316,6.174356228845683,3.63033058254482,7.727318332548919,6.109275668016961,8.073992592737124,18.68953393721256,5.363234901653247,10.141941707927149
3,45,5.799159099638629,5.60296429922343,11.381379957586773,5.853740560878819,3.1125227012477055,1.3616615862976111,17.65477352412056,13.753784276323163,10.172567498436972,5.103709240720306,12.758758925210756,16.920911838356812,0.3006561992500494,13.412226070864156,14.650934189510963,14.045702130805061,5.033241317977399,8.352992921371245,6.225517881972472,6.06694284381188,11.539521322244973,15.041008735566237
4,60,2.364268694360078,4.756002130021294,16.294535468946968,5.979562653460675,19.852967802485274,6.274231933705309,4.4983221656486805,6.027784748459744,6.625066590324025,17.49685789496898,7.858708306483507,16.351330921848323,2.3229574563012036,5.522245122011888,28.949284014734666,26.47641034431313,7.531337253136492,2.699098336517313,9.22106978235442,9.398617449454534,25.055850907541185,4.0917810240867425
5,75,1.381571761760675,0.9172202006533041,11.278224404564895,3.1851853073730005,13.254924909815884,1.0545127112486945,6.615685270176655,10.638165780977637,10.110863162012773,12.25741177341786,9.906227862377065,5.690027927281605,4.533528568809242,6.208638664980118,21.90914147212297,19.63112531239222,3.871407092240972,3.3819662365543515,6.7676241565861055,6.473756724451626,17.8563083098594,1.8525468475956401
6,90,2.925443326627331,0.54086238060653,11.757731159085829,1.2906767175079779,8.53342707455539,1.112473981684385,5.672280537310353,7.468186206476169,7.287919125449605,8.448642296864609,6.410884516390745,0.8907987540257594,3.6375739081981635,4.394549175075948,16.815017260092063,14.824266214287853,2.423476798820456,2.2125336844179557,4.525306576301567,4.53036470198079,12.655243259638276,1.1222185350217302
7,105,2.641456141800937,0.6902539536427064,11.549811024687463,0.3437817482958998,5.649060114917294,2.1528380211485434,3.845654557769681,4.165796835665546,4.419833685806623,6.016819708804526,3.13920928970726,1.3437505622067398,2.5412251274981763,3.502111041723463,13.68428621803967,12.05065922001533,1.6701434215295734,1.1923604383761344,2.986975465119798,3.6588296217632177,9.384513557753081,0.737221673000299
8,120,3.640581565364524,0.5637219344439401,11.008662714187452,0.15341039240932375,3.7652229479867785,2.5881932091611084,2.240176815001643,2.08111761026818,2.5875460494855,4.369872260901115,1.1659000271010527,2.217625860504924,1.652495873206007,3.2708944736189807,11.566793334777731,10.320876357776779,1.324089108025433,0.4651260342029655,1.8309011500572616,3.2561374402842667,7.196831963142898,0.6112672903671026
9,135,5.485605650944851,0.48537381124170764,10.306796982655671,0.4277529537968796,2.4706505569062465,2.7192114749937595,1.0805244173629873,0.9259139660389231,1.5419207085847333,3.2088396329687576,0.13702525840637492,2.4109216969312577,1.0057319090987775,3.2561196843662152,10.012099167024122,9.161448379557694,1.1879754814920922,0.021552193083460125,0.9269773884231967,3.0561205492492114,5.667546077848172,0.6323901146861814
